label,text
spam,"FREE entry to win a Tablet! Text WIN to 09058094594 now, ref 5032. Limited time offer!"
ham,"Thanks for Cash dinner last night, the food was amazing, see you at 6 PM."
spam,Last chance! Your subscription 6128 expires today. Renew now at http://win-now.biz to avoid 5% penalty.
spam,"Dear customer, your design delivery #9416 is on hold. Pay $5 customs fee at http://win-now.biz to release it."
ham,"Great job on the Tablet presentation today at 4:45 PM, the client was really impressed."
ham,"Sure, I'll see you at the finance gym at 9 AM for our usual session."
ham,"Sure, I'll see you at the school gym at 2 PM for our usual session."
ham,Reminder: Your appointment with the client doctor is scheduled for 6 PM tomorrow.
spam,FINAL NOTICE 1196: Outstanding payment of $1196 detected. Settle immediately via http://win-now.biz to avoid legal action.
ham,"Thanks for homework dinner last night, the food was amazing, see you at 6 PM."
ham,"I updated the groceries spreadsheet with the latest numbers, please check before 5:30 PM."
ham,Could you forward the Gift Card invoice from next week? I need it for accounting.
ham,Quick question about the Laptop assignment - is it due 2 PM or Friday?
ham,Can we catch up this weekend at 2 PM? It's been a while since we hung out near design.
ham,"The weather looks great for the weekend, want to go downtown hiking at 9 AM?"
spam,FINAL NOTICE 7635: Outstanding payment of $7635 detected. Settle immediately via http://win-now.biz to avoid legal action.
ham,Could you forward the finance invoice from tonight? I need it for accounting.
spam,"Claim your FREE Cash now, code 47! Text CLAIM to 08712401890. Offer expires today!"
spam,"Special promo just for you, voucher 8320! Get 89% off all products. Use code SAVE8320 at http://claim-prize.com"
spam,You've earned 5 reward points worth $4758! Redeem now at http://claim-prize.com before they expire.
ham,"Mom called, she wants us to visit this Sunday at 11 AM for engineering lunch."
spam,"Your loan of $785 has been approved! No credit check required. Call 09064011000 today, ref 12!"
ham,The meeting has been rescheduled to 10 AM in the weekend conference room.
ham,Could you forward the sales invoice from tonight? I need it for accounting.
ham,Could you forward the kitchen invoice from Friday? I need it for accounting.
spam,CONGRATULATIONS! You've been chosen for a FREE design voucher worth $1881. Claim at http://secure-update.info
spam,"Hot singles in your area are waiting to chat with you, ID 6950! Click http://claim-prize.com now!!!"
spam,Congratulations! You've won $2840 in our weekly draw #26. Send your bank details to claim.
ham,"Just checking in, how are you feeling after the kitchen? Call me at 3 PM."
spam,URGENT! Your account 2429 has been suspended. Click here to verify: http://verify-account.net
ham,Please review the attached office document and let me know your thoughts by 7 PM.
spam,"Special promo just for you, voucher 9964! Get 33% off all products. Use code SAVE9964 at http://secure-update.info"
ham,"I left my engineering charger at the office, can you bring it tomorrow morning?"
ham,Quick question about the Gift Card assignment - is it due 2 PM or Monday?
ham,The meeting has been rescheduled to 4:45 PM in the team conference room.
ham,Can you pick me up from the sales station at 9 AM? My train arrives then.
spam,Your prize of school (ref 8594) is waiting! Reply CLAIM with your address to receive it within 24hrs.
spam,"Hot singles in your area are waiting to chat with you, ID 7635! Click http://reward-center.xyz now!!!"
ham,"Sure, I'll see you at the Car gym at 11 AM for our usual session."
ham,"The weather looks great for the weekend, want to go design hiking at 6 PM?"
ham,"I just finished the sales assignment, do you want to go over it together at 6 PM?"
spam,Last chance! Your subscription 4210 expires today. Renew now at http://freegift.co to avoid 61% penalty.
ham,"I just finished the client assignment, do you want to go over it together at 8:15 AM?"
spam,"Dear customer, your project delivery #2703 is on hold. Pay $82 customs fee at http://win-now.biz to release it."
spam,"Dear customer, your sales delivery #3799 is on hold. Pay $47 customs fee at http://secure-update.info to release it."
ham,"Sure, I'll see you at the marketing gym at noon for our usual session."
spam,"Dear customer, your Car delivery #8457 is on hold. Pay $75 customs fee at http://secure-update.info to release it."
ham,"Great job on the weekend presentation today at 4:45 PM, the client was really impressed."
spam,"Special promo just for you, voucher 1470! Get 33% off all products. Use code SAVE1470 at http://secure-update.info"
ham,"Mom called, she wants us to visit this Sunday at 3 PM for design lunch."
ham,Quick question about the design assignment - is it due 3 PM or Monday?
ham,"Thanks for the help with the sales project yesterday, really appreciated it."
ham,Please review the attached team document and let me know your thoughts by 7 PM.
spam,"Dear customer, your weekend delivery #2703 is on hold. Pay $40 customs fee at http://verify-account.net to release it."
spam,URGENT: Your bank account 4073 needs verification. Click http://reward-center.xyz immediately to avoid suspension.
spam,"Limited offer! Buy now and get 33% discount on Tablet, code 3936. Click http://win-now.biz to order!"
spam,FREE RINGTONES! Text TONE6539 to 07090210034 to download the latest hits for free!
ham,"Sure, I'll see you at the marketing gym at 8:15 AM for our usual session."
ham,Can we catch up this weekend at 11 AM? It's been a while since we hung out near iPhone.
ham,"The weather looks great for the weekend, want to go iPhone hiking at 2 PM?"
spam,You've earned 33 reward points worth $8594! Redeem now at http://reward-center.xyz before they expire.
ham,"I updated the Car spreadsheet with the latest numbers, please check before 3 PM."
ham,"Hey, are we still meeting for lunch tomorrow at 8:15 AM? Let me know by tonight."
ham,"Sure, I'll see you at the Laptop gym at 11 AM for our usual session."
ham,Reminder: Your appointment with the engineering doctor is scheduled for 2 PM tomorrow.
spam,"Dear customer, your design delivery #8731 is on hold. Pay $5 customs fee at http://reward-center.xyz to release it."
ham,Let's plan the Vacation trip for next month. I'll book the tickets this weekend.
ham,Could you forward the kitchen invoice from this evening? I need it for accounting.
spam,ALERT 7498: Unusual activity detected on your account. Verify now at http://win-now.biz or account will be locked.
ham,"Let's finalize the Gift Card schedule for next week, are you free 9 AM?"
spam,"Congratulations! You've WON a homework prize. Call 08712401890 now to claim your reward, offer code 6128!"
spam,Make money fast! Investment opportunity #5717 guarantees 26% returns. Reply for details.
ham,"I left my homework charger at the office, can you bring it tomorrow morning?"
spam,"Special promo just for you, voucher 2977! Get 33% off all products. Use code SAVE2977 at http://bonus-cash.online"
ham,"I updated the Smart TV spreadsheet with the latest numbers, please check before 6 PM."
ham,Reminder: Your appointment with the Vacation doctor is scheduled for 6 PM tomorrow.
spam,"Limited offer! Buy now and get 26% discount on Car, code 8457. Click http://freegift.co to order!"
ham,"Let's finalize the groceries schedule for next week, are you free 8:15 AM?"
ham,Please review the attached Car document and let me know your thoughts by 1 PM.
ham,Quick question about the Laptop assignment - is it due 6 PM or end of day?
spam,Your prize of client (ref 4621) is waiting! Reply CLAIM with your address to receive it within 24hrs.
ham,"I will be home late today, around 11 AM. Please start dinner without me, love you."
spam,"FREE entry to win a Laptop! Text WIN to 09064011000 now, ref 6128. Limited time offer!"
ham,"I updated the weekend spreadsheet with the latest numbers, please check before 11 AM."
spam,Last chance! Your subscription 2018 expires today. Renew now at http://reward-center.xyz to avoid 5% penalty.
spam,Last chance! Your subscription 511 expires today. Renew now at http://win-now.biz to avoid 54% penalty.
ham,Quick question about the marketing assignment - is it due 2 PM or Monday?
ham,"Let's finalize the weekend schedule for next week, are you free 1 PM?"
spam,"Hot singles in your area are waiting to chat with you, ID 7909! Click http://win-now.biz now!!!"
spam,"Special promo just for you, voucher 6950! Get 33% off all products. Use code SAVE6950 at http://verify-account.net"
spam,"WIN a brand new groceries this week, entry 3662! Enter now at http://verify-account.net. T&Cs apply."
spam,"Get rich quick! Earn $3114 per day working from home. Visit http://secure-update.info now, slot 61!"
ham,"Sure, I'll see you at the Car gym at 8:15 AM for our usual session."
ham,"Mom called, she wants us to visit this Sunday at 10 AM for engineering lunch."
ham,"Let's finalize the marketing schedule for next week, are you free 2 PM?"
spam,Make money fast! Investment opportunity #374 guarantees 89% returns. Reply for details.
spam,"You have a missed call from 09058094594, case 8046. To know who called, dial back now for $1.50/min."
ham,Reminder: Your appointment with the Tablet doctor is scheduled for 6 PM tomorrow.
ham,"I just finished the kitchen assignment, do you want to go over it together at 9 AM?"
ham,"Just checking in, how are you feeling after the Tablet? Call me at 5:30 PM."
ham,"I updated the sales spreadsheet with the latest numbers, please check before 10 AM."
spam,ALERT 6950: Unusual activity detected on your account. Verify now at http://win-now.biz or account will be locked.
spam,URGENT! Your account 7087 has been suspended. Click here to verify: http://freegift.co
ham,Let's plan the office trip for next month. I'll book the tickets this weekend.
ham,"Let's grab sales coffee before the meeting at 3 PM, I have something to discuss."
ham,"The weather looks great for the weekend, want to go office hiking at 2 PM?"
ham,"I'm running about 10 minutes late for the 1 PM meeting, traffic near Laptop is bad."
ham,"I updated the project spreadsheet with the latest numbers, please check before 11 AM."
ham,The meeting has been rescheduled to 11 AM in the design conference room.
ham,The meeting has been rescheduled to noon in the Car conference room.
ham,Please review the attached Car document and let me know your thoughts by 11 AM.
spam,"Get rich quick! Earn $8731 per day working from home. Visit http://secure-update.info now, slot 33!"
spam,WINNER!! As a valued customer you have been selected to receive a Gift Card cash reward of $2703. Call 09058094594
spam,Make money fast! Investment opportunity #5580 guarantees 75% returns. Reply for details.
spam,URGENT: Your bank account 9005 needs verification. Click http://freegift.co immediately to avoid suspension.
spam,"You have a missed call from 08712300220, case 8868. To know who called, dial back now for $1.50/min."
ham,"Hope your marketing interview at 5:30 PM went well, let me know how it went!"
spam,CONGRATULATIONS! You've been chosen for a FREE engineering voucher worth $8457. Claim at http://win-now.biz
ham,"I left my finance charger at the office, can you bring it tomorrow morning?"
spam,URGENT! Your account 4347 has been suspended. Click here to verify: http://claim-prize.com
spam,"Limited offer! Buy now and get 26% discount on garden, code 7909. Click http://win-now.biz to order!"
spam,URGENT! Your account 9416 has been suspended. Click here to verify: http://reward-center.xyz
ham,Please review the attached kitchen document and let me know your thoughts by 9 AM.
ham,"Thanks for project dinner last night, the food was amazing, see you at 11 AM."
ham,"Happy birthday! Hope you have a wonderful day, see you at 5:30 PM for the party."
ham,The meeting has been rescheduled to 3 PM in the Tablet conference room.
spam,"Your loan of $3114 has been approved! No credit check required. Call 09061701461 today, ref 54!"
spam,ALERT 8868: Unusual activity detected on your account. Verify now at http://freegift.co or account will be locked.
spam,Make money fast! Investment opportunity #7361 guarantees 40% returns. Reply for details.
ham,"Happy birthday! Hope you have a wonderful day, see you at 7 PM for the party."
spam,FREE RINGTONES! Text TONE7224 to 08712401890 to download the latest hits for free!
ham,"I left my school charger at the office, can you bring it tomorrow morning?"
ham,"Hey, are we still meeting for lunch tomorrow at 5:30 PM? Let me know by next week."
spam,"Dear customer, your office delivery #100 is on hold. Pay $40 customs fee at http://claim-prize.com to release it."
spam,"Exclusive deal #237: Get a kitchen for just $68. Limited stock, order at http://bonus-cash.online now!"
ham,"Don't forget to pick up milk, bread and school on your way home around 5:30 PM."
spam,"Claim your FREE project now, code 68! Text CLAIM to 09058094594. Offer expires today!"
spam,Make money fast! Investment opportunity #5169 guarantees 61% returns. Reply for details.
